,State,scode,Year,Deaths,Population,waitingh,permith,rate_calculated,log_rate,scode_char,Region,Division,rate_other,log_other,rate_combined,log_everything,rate_all,rlong_guns,log_long,BRFSS,perc_rural,perc_hs,less_9th,Median_inc,perc_male,perc_white,u_rate,Delay,treatment,Post,treatmentvar
18,Alaska,2.0,2008.0,74,687455,0.0,0.0,10.8,2.379546134130174,AK,West,Pacific,7.7,2.0412203288596382,24.6,3.202746442938317,16.9,6.099999999999998,1.9600947840472693,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,6.9,0,1,1,1
19,Alaska,2.0,2009.0,46,698895,0.0,0.0,6.6,1.8870696490323797,AK,West,Pacific,9.2,2.2192034840549946,20.5,3.0204248861443626,11.3,4.700000000000001,1.7404661748405046,0.58039848,0.394933673,27.9,4.1,51571,0.516981108,0.693111853,8.4,0,1,1,1
20,Arizona,4.0,2000.0,452,5130632,0.0,0.0,8.8,2.174751721484161,AZ,West,Mountain,5.7,1.7404661748405046,15.3,2.72785282839839,9.5,0.6999999999999993,0.5306282510621699,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.0,0,1,0,0
21,Arizona,4.0,2001.0,428,5273477,0.0,0.0,8.1,2.0918640616783932,AZ,West,Mountain,5.6,1.7227665977411035,14.4,2.667228206581955,8.9,0.8000000000000007,0.5877866649021194,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,5.9,0,1,0,0
22,Arizona,4.0,2002.0,494,5396255,0.0,0.0,9.2,2.2192034840549946,AZ,West,Mountain,6.0,1.791759469228055,16.4,2.797281334830153,10.4,1.200000000000001,0.7884573603642706,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,6.0,0,1,0,0
23,Arizona,4.0,2003.0,453,5510364,0.0,0.0,8.2,2.1041341542702074,AZ,West,Mountain,6.4,1.8562979903656263,15.2,2.7212954278522306,8.8,0.6000000000000014,0.47000362924573647,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,5.4,0,1,0,0
24,Arizona,4.0,2004.0,451,5652404,0.0,0.0,8.0,2.0794415416798357,AZ,West,Mountain,6.5,1.8718021769015913,15.6,2.747270914255491,9.0,1.0,0.6931471805599453,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.6,0,1,0,0
25,Arizona,4.0,2005.0,459,5839077,0.0,0.0,7.9,2.066862759472976,AZ,West,Mountain,7.4,2.0014800002101243,16.2,2.785011242238338,8.8,0.9000000000000004,0.6418538861723949,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.6,0,1,0,0
26,Arizona,4.0,2006.0,516,6029141,0.0,0.0,8.6,2.151762203259462,AZ,West,Mountain,6.9,1.9315214116032138,16.2,2.785011242238338,9.3,0.7000000000000011,0.530628251062171,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.0,0,1,0,0
27,Arizona,4.0,2007.0,510,6167681,0.0,0.0,8.3,2.1162555148025524,AZ,West,Mountain,7.5,2.0149030205422647,16.5,2.803360380906535,8.9,0.5999999999999996,0.47000362924573535,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,4.1,0,1,0,0
28,Arizona,4.0,2008.0,474,6280362,0.0,0.0,7.5,2.0149030205422647,AZ,West,Mountain,6.9,1.9315214116032138,15.5,2.740840023925201,8.6,1.0999999999999996,0.7419373447293771,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,7.7,0,1,1,1
29,Arizona,4.0,2009.0,576,6343154,0.0,0.0,9.1,2.2082744135228043,AZ,West,Mountain,7.1,1.9600947840472698,16.7,2.8154087194227095,9.5,0.40000000000000036,0.33647223662121317,0.357941295,0.132632221,24.3,7.8,40558,0.499169888,0.75499685,10.6,0,1,1,1
30,Arkansas,5.0,2000.0,214,2673400,0.0,0.0,8.0,2.0794415416798357,AR,South,West South Central,3.9,1.3609765531356006,13.1,2.5726122302071057,9.1,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,4.2,0,1,0,0
31,Arkansas,5.0,2001.0,247,2691571,0.0,0.0,9.2,2.2192034840549946,AR,South,West South Central,4.0,1.3862943611198906,14.2,2.653241964607215,10.2,1.0,0.6931471805599453,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.3,0,1,0,0
32,Arkansas,5.0,2002.0,220,2705927,0.0,0.0,8.1,2.0918640616783932,AR,South,West South Central,4.4,1.4816045409242156,13.9,2.631888840136646,9.5,1.4000000000000004,0.8754687373539001,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.4,0,1,0,0
33,Arkansas,5.0,2003.0,230,2724816,0.0,0.0,8.4,2.128231705849268,AR,South,West South Central,4.2,1.4350845252893227,13.7,2.617395832834079,9.5,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.7,0,1,0,0
34,Arkansas,5.0,2004.0,199,2749686,0.0,0.0,7.2,1.9740810260220096,AR,South,West South Central,4.7,1.547562508716013,13.1,2.5726122302071057,8.4,1.2000000000000002,0.7884573603642703,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.4,0,1,0,0
35,Arkansas,5.0,2005.0,230,2781097,0.0,0.0,8.3,2.1162555148025524,AR,South,West South Central,5.0,1.6094379124341003,14.4,2.667228206581955,9.4,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.2,0,1,0,0
36,Arkansas,5.0,2006.0,212,2821761,0.0,0.0,7.5,2.0149030205422647,AR,South,West South Central,4.4,1.4816045409242156,13.1,2.5726122302071057,8.8,1.3000000000000007,0.8329091229351043,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.3,0,1,0,0
37,Arkansas,5.0,2007.0,223,2848650,0.0,0.0,7.8,2.0541237336955462,AR,South,West South Central,5.5,1.7047480922384253,14.1,2.6461747973841225,8.6,0.7999999999999998,0.587786664902119,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,5.2,0,1,0,0
38,Arkansas,5.0,2008.0,245,2874554,0.0,0.0,8.5,2.1400661634962708,AR,South,West South Central,5.9,1.7749523509116738,15.5,2.740840023925201,9.6,1.0999999999999996,0.7419373447293771,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,6.7,0,1,1,1
39,Arkansas,5.0,2009.0,257,2896843,0.0,0.0,8.9,2.186051276738094,AR,South,West South Central,4.7,1.547562508716013,14.6,2.681021528714291,9.8,0.9000000000000004,0.6418538861723949,0.562237939,0.480677179,34.1,9.4,32182,0.488027605,0.799954365,7.9,0,1,1,1
40,California,6.0,2000.0,1266,33871648,1.0,1.0,3.7,1.308332819650179,CA,West,Pacific,4.4,1.4816045409242156,8.7,2.163323025660538,4.4,0.7000000000000002,0.5306282510621705,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,4.8,1,0,0,0
41,California,6.0,2001.0,1190,34479458,1.0,1.0,3.5,1.252762968495368,CA,West,Pacific,4.0,1.3862943611198906,8.2,2.1041341542702074,4.2,0.7000000000000002,0.5306282510621705,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,6.5,1,0,0,0
42,California,6.0,2002.0,1200,34871843,1.0,1.0,3.4,1.2237754316221157,CA,West,Pacific,5.0,1.6094379124341003,9.2,2.2192034840549946,4.3,0.8999999999999999,0.6418538861723947,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,6.9,1,0,0,0
43,California,6.0,2003.0,1271,35253159,1.0,1.0,3.6,1.2809338454620642,CA,West,Pacific,5.3,1.667706820558076,9.6,2.2617630984737906,4.3,0.6999999999999997,0.5306282510621703,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,6.6,1,0,0,0
44,California,6.0,2004.0,1140,35574576,1.0,1.0,3.2,1.1631508098056809,CA,West,Pacific,5.6,1.7227665977411035,9.4,2.2407096892759584,3.8,0.5999999999999996,0.47000362924573535,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,5.8,1,0,0,0
45,California,6.0,2005.0,1109,35827943,1.0,1.0,3.1,1.1314021114911006,CA,West,Pacific,5.2,1.6486586255873816,8.9,2.186051276738094,3.7,0.6000000000000001,0.47000362924573563,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,5.1,1,0,0,0
46,California,6.0,2006.0,1094,36021202,1.0,1.0,3.0,1.0986122886681098,CA,West,Pacific,5.6,1.7227665977411035,9.2,2.2192034840549946,3.7,0.7000000000000002,0.5306282510621705,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,4.9,1,0,0,0
47,California,6.0,2007.0,1197,36250311,1.0,1.0,3.3,1.1939224684724346,CA,West,Pacific,6.0,1.791759469228055,9.9,2.2925347571405443,3.9,0.6000000000000001,0.47000362924573563,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,5.8,1,0,0,0
48,California,6.0,2008.0,1239,36604337,1.0,1.0,3.4,1.2237754316221157,CA,West,Pacific,6.2,1.824549292051046,10.3,2.33214389523559,4.0,0.6000000000000001,0.47000362924573563,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,9.3,1,0,1,0
49,California,6.0,2009.0,1239,36961229,1.0,1.0,3.4,1.2237754316221157,CA,West,Pacific,6.2,1.824549292051046,10.3,2.33214389523559,4.1,0.6999999999999997,0.5306282510621703,0.214033918,0.067541831,20.1,11.5,47493,0.498201091,0.59548502,12.5,1,0,1,0
50,Colorado,8.0,2000.0,303,4301261,0.0,0.0,7.0,1.9459101490553132,CO,West,Mountain,6.1,1.8082887711792655,14.3,2.6602595372658615,8.1,1.0999999999999996,0.7419373447293771,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,2.7,0,1,0,0
51,Colorado,8.0,2001.0,318,4425687,0.0,0.0,7.2,1.9740810260220096,CO,West,Mountain,7.5,2.0149030205422647,16.3,2.791165107812717,8.8,1.6000000000000005,0.9555114450274366,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,5.5,0,1,0,0
52,Colorado,8.0,2002.0,317,4490406,0.0,0.0,7.1,1.9600947840472698,CO,West,Mountain,7.7,2.0412203288596382,16.2,2.785011242238338,8.5,1.4000000000000004,0.8754687373539001,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,5.8,0,1,0,0
53,Colorado,8.0,2003.0,321,4528732,0.0,0.0,7.1,1.9600947840472698,CO,West,Mountain,8.1,2.0918640616783932,16.1,2.7788192719904172,8.0,0.9000000000000004,0.6418538861723949,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,5.9,0,1,0,0
54,Colorado,8.0,2004.0,346,4575013,0.0,0.0,7.6,2.028148247292285,CO,West,Mountain,8.6,2.151762203259462,17.4,2.856470206220483,8.8,1.200000000000001,0.7884573603642706,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,5.4,0,1,0,0
55,Colorado,8.0,2005.0,336,4631888,0.0,0.0,7.3,1.9878743481543455,CO,West,Mountain,8.7,2.163323025660538,17.2,2.8449093838194073,8.5,1.2000000000000002,0.7884573603642703,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,4.7,0,1,0,0
56,Colorado,8.0,2006.0,316,4720423,0.0,0.0,6.7,1.9021075263969205,CO,West,Mountain,7.6,2.028148247292285,15.5,2.740840023925201,7.9,1.2000000000000002,0.7884573603642703,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,3.8,0,1,0,0
57,Colorado,8.0,2007.0,331,4803868,0.0,0.0,6.9,1.9315214116032138,CO,West,Mountain,8.6,2.151762203259462,16.9,2.8273136219290276,8.2,1.299999999999999,0.8329091229351036,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,4.1,0,1,0,0
58,Colorado,8.0,2008.0,332,4889730,0.0,0.0,6.8,1.916922612182061,CO,West,Mountain,8.5,2.1400661634962708,16.4,2.797281334830153,7.9,1.1000000000000005,0.7419373447293776,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,6.1,0,1,1,1
59,Colorado,8.0,2009.0,393,4972195,0.0,0.0,7.9,2.066862759472976,CO,West,Mountain,9.8,2.2823823856765264,18.9,2.9391619220655967,9.1,1.1999999999999993,0.7884573603642698,0.420237824,0.18019764,23.2,4.8,47203,0.503569302,0.827665422,8.6,0,1,1,1
60,Connecticut,9.0,2000.0,102,3405565,0.0,1.0,3.0,1.0986122886681098,CT,Northeast,New England,5.6,1.7227665977411035,8.9,2.186051276738094,3.3,0.2999999999999998,0.2623642644674909,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,2.2,1,0,0,0
61,Connecticut,9.0,2001.0,92,3432835,0.0,1.0,2.7,0.9932517730102834,CT,Northeast,New England,4.9,1.589235205116581,8.2,2.1041341542702074,3.4,0.6999999999999997,0.5306282510621703,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,3.5,1,0,0,0
62,Connecticut,9.0,2002.0,70,3458749,0.0,1.0,2.0,0.6931471805599453,CT,Northeast,New England,5.1,1.62924053973028,7.5,2.0149030205422647,2.5,0.5,0.4054651081081644,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,5.1,1,0,0,0
63,Connecticut,9.0,2003.0,79,3484336,0.0,1.0,2.3,0.8329091229351039,CT,Northeast,New England,5.3,1.667706820558076,7.8,2.0541237336955462,2.6,0.30000000000000027,0.2623642644674913,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,5.3,1,0,0,0
64,Connecticut,9.0,2004.0,89,3496094,0.0,1.0,2.5,0.9162907318741551,CT,Northeast,New England,5.4,1.6863989535702288,8.4,2.128231705849268,3.0,0.5,0.4054651081081644,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,4.9,1,0,0,0
65,Connecticut,9.0,2005.0,90,3506956,0.0,1.0,2.6,0.9555114450274363,CT,Northeast,New England,5.2,1.6486586255873816,8.4,2.128231705849268,3.2,0.6000000000000001,0.47000362924573563,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,4.6,1,0,0,0
66,Connecticut,9.0,2006.0,68,3517460,0.0,1.0,1.9,0.6418538861723947,CT,Northeast,New England,6.0,1.791759469228055,8.3,2.1162555148025524,2.2,0.30000000000000027,0.2623642644674913,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,4.3,1,0,0,0
67,Connecticut,9.0,2007.0,63,3527270,0.0,1.0,1.8,0.5877866649021191,CT,Northeast,New England,5.4,1.6863989535702288,7.7,2.0412203288596382,2.2,0.40000000000000013,0.336472236621213,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,4.7,1,0,0,0
68,Connecticut,9.0,2008.0,89,3545579,0.0,1.0,2.5,0.9162907318741551,CT,Northeast,New England,5.8,1.7578579175523736,8.9,2.186051276738094,3.1,0.6000000000000001,0.47000362924573563,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,6.8,1,0,1,0
69,Connecticut,9.0,2009.0,86,3561807,0.0,1.0,2.4,0.8754687373538999,CT,Northeast,New England,6.3,1.840549633397487,8.9,2.186051276738094,2.6,0.20000000000000018,0.1823215567939548,0.136066586,0.120681109,28.5,5.8,53935,0.484301137,0.816415191,9.4,1,0,1,0
70,Delaware,10.0,2000.0,30,783600,0.0,0.0,3.8,1.33500106673234,DE,South,South Atlantic,5.4,1.6863989535702288,10.5,2.3513752571634776,5.1,1.2999999999999998,0.8329091229351039,0.343354714,0.199019448,31.4,5.0,47381,0.4856317,0.746264676,3.7,0,1,0,0
